,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum of Profit,Sum of Sales,,Year,Sum of Profit,,Year,Sum of Sales,,Month,Sum of Sales,,Month,Sum of Profit,,State,Sum of Sales,,Category,Sum of Sales,,Category,Sum of Profit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70573.92,277069.72,,2023,44366.64,,2023,193524.42,,January,27478.1,,January,3615.87,,Delhi,28964.61,,Furniture,109835.94,,Furniture,30729.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,26207.28,,2024,83545.3,,February,10812.64,,February,3330.67,,Gujarat,20965.77,,Office Supplies,86057.54,,Office Supplies,22323.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,70573.92,,Grand Total,277069.72,,March,24435.87,,March,5601.33,,Karnataka,37965.73,,Technology,81176.24,,Technology,17520.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April,19452.57,,April,4740.2,,Maharashtra,44231.69,,Grand Total,277069.72,,Grand Total,70573.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,12192.21,,May,2599.72,,Rajasthan,32309.47,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,28825.28,,June,6412.63,,Tamil Nadu,30681.27,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,25873.49,,July,6597.58,,Uttar Pradesh,39205.18,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August,29207.24,,August,11447.59,,West Bengal,42746,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September,43786.5,,September,11375.41,,Grand Total,277069.72,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October,23393.97,,October,5848.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November,12549.93,,November,4541.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December,19061.92,,December,4463.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,277069.72,,Grand Total,70573.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
